,datetime,transaction_time
0,1230969600.0,0.0
1,1231142400.0,0.0
2,1231315200.0,0.0
3,1231488000.0,0.0
4,1231660800.0,0.0
5,1231833600.0,0.0
6,1232006400.0,0.0
7,1232179200.0,0.0
8,1232352000.0,0.0
9,1232524800.0,0.0
10,1232697600.0,0.0
11,1232870400.0,0.0
12,1233043200.0,0.0
13,1233216000.0,0.0
14,1233388800.0,0.0
15,1233561600.0,0.0
16,1233734400.0,0.0
17,1233907200.0,0.0
18,1234080000.0,0.0
19,1234252800.0,0.0
20,1234425600.0,0.0
21,1234598400.0,0.0
22,1234771200.0,0.0
23,1234944000.0,0.0
24,1235116800.0,0.0
25,1235289600.0,0.0
26,1235462400.0,0.0
27,1235635200.0,0.0
28,1235808000.0,0.0
29,1235980800.0,0.0
30,1236153600.0,0.0
31,1236326400.0,0.0
32,1236499200.0,0.0
33,1236668400.0,0.0
34,1236841200.0,0.0
35,1237014000.0,0.0
36,1237186800.0,0.0
37,1237359600.0,0.0
38,1237532400.0,0.0
39,1237705200.0,0.0
40,1237878000.0,0.0
41,1238050800.0,0.0
42,1238223600.0,0.0
43,1238396400.0,0.0
44,1238569200.0,0.0
45,1238742000.0,0.0
46,1238914800.0,0.0
47,1239087600.0,0.0
48,1239260400.0,0.0
49,1239433200.0,0.0
50,1239606000.0,0.0
51,1239778800.0,0.0
52,1239951600.0,0.0
53,1240124400.0,0.0
54,1240297200.0,0.0
55,1240470000.0,0.0
56,1240642800.0,0.0
57,1240815600.0,0.0
58,1240988400.0,0.0
59,1241161200.0,0.0
60,1241334000.0,0.0
61,1241506800.0,0.0
62,1241679600.0,0.0
63,1241852400.0,0.0
64,1242025200.0,0.0
65,1242198000.0,0.0
66,1242370800.0,0.0
67,1242543600.0,0.0
68,1242716400.0,0.0
69,1242889200.0,0.0
70,1243062000.0,0.0
71,1243234800.0,0.0
72,1243407600.0,0.0
73,1243580400.0,0.0
74,1243753200.0,0.0
75,1243926000.0,0.0
76,1244098800.0,0.0
77,1244271600.0,0.0
78,1244444400.0,0.0
79,1244617200.0,0.0
80,1244790000.0,0.0
81,1244962800.0,0.0
82,1245135600.0,0.0
83,1245308400.0,0.0
84,1245481200.0,0.0
85,1245654000.0,0.0
86,1245826800.0,0.0
87,1245999600.0,0.0
88,1246172400.0,0.0
89,1246345200.0,0.0
90,1246518000.0,0.0
91,1246690800.0,0.0
92,1246863600.0,0.0
93,1247036400.0,0.0
94,1247209200.0,0.0
95,1247382000.0,0.0
96,1247554800.0,0.0
97,1247727600.0,0.0
98,1247900400.0,0.0
99,1248073200.0,0.0
100,1248246000.0,0.0
101,1248418800.0,0.0
102,1248591600.0,0.0
103,1248764400.0,0.0
104,1248937200.0,0.0
105,1249110000.0,0.0
106,1249282800.0,0.0
107,1249455600.0,0.0
108,1249628400.0,0.0
109,1249801200.0,0.0
110,1249974000.0,0.0
111,1250146800.0,0.0
112,1250319600.0,0.0
113,1250492400.0,0.0
114,1250665200.0,0.0
115,1250838000.0,0.0
116,1251010800.0,0.0
117,1251183600.0,0.0
118,1251356400.0,0.0
119,1251529200.0,0.0
120,1251702000.0,0.0
121,1251874800.0,0.0
122,1252047600.0,0.0
123,1252220400.0,0.0
124,1252393200.0,0.0
125,1252566000.0,0.0
126,1252738800.0,0.0
127,1252911600.0,0.0
128,1253084400.0,0.0
129,1253257200.0,0.0
130,1253430000.0,0.0
131,1253602800.0,0.0
132,1253775600.0,0.0
133,1253948400.0,0.0
134,1254121200.0,0.0
135,1254294000.0,0.0
136,1254466800.0,0.0
137,1254639600.0,0.0
138,1254812400.0,0.0
139,1254985200.0,0.0
140,1255158000.0,0.0
141,1255330800.0,0.0
142,1255503600.0,0.0
143,1255676400.0,0.0
144,1255849200.0,0.0
145,1256022000.0,0.0
146,1256194800.0,0.0
147,1256367600.0,0.0
148,1256540400.0,0.0
149,1256713200.0,0.0
150,1256886000.0,0.0
151,1257058800.0,0.0
152,1257235200.0,0.0
153,1257408000.0,0.0
154,1257580800.0,0.0
155,1257753600.0,0.0
156,1257926400.0,0.0
157,1258099200.0,0.0
158,1258272000.0,0.0
159,1258444800.0,0.0
160,1258617600.0,0.0
161,1258790400.0,0.0
162,1258963200.0,0.0
163,1259136000.0,0.0
164,1259308800.0,0.0
165,1259481600.0,0.0
166,1259654400.0,0.0
167,1259827200.0,0.0
168,1260000000.0,0.0
169,1260172800.0,0.0
170,1260345600.0,0.0
171,1260518400.0,0.0
172,1260691200.0,0.0
173,1260864000.0,0.0
174,1261036800.0,0.0
175,1261209600.0,0.0
176,1261382400.0,0.0
177,1261555200.0,0.0
178,1261728000.0,0.0
179,1261900800.0,0.0
180,1262073600.0,0.0
181,1262246400.0,0.0
182,1262419200.0,0.0
183,1262592000.0,0.0
184,1262764800.0,0.0
185,1262937600.0,0.0
186,1263110400.0,0.0
187,1263283200.0,0.0
188,1263456000.0,0.0
189,1263628800.0,0.0
190,1263801600.0,0.0
191,1263974400.0,0.0
192,1264147200.0,0.0
193,1264320000.0,0.0
194,1264492800.0,0.0
195,1264665600.0,0.0
196,1264838400.0,0.0
197,1265011200.0,0.0
198,1265184000.0,0.0
199,1265356800.0,0.0
200,1265529600.0,0.0
201,1265702400.0,0.0
202,1265875200.0,0.0
203,1266048000.0,0.0
204,1266220800.0,0.0
205,1266393600.0,0.0
206,1266566400.0,0.0
207,1266739200.0,0.0
208,1266912000.0,0.0
209,1267084800.0,0.0
210,1267257600.0,0.0
211,1267430400.0,0.0
212,1267603200.0,0.0
213,1267776000.0,0.0
214,1267948800.0,0.0
215,1268121600.0,0.0
216,1268294400.0,0.0
217,1268467200.0,0.0
218,1268636400.0,0.0
219,1268809200.0,0.0
220,1268982000.0,0.0
221,1269154800.0,0.0
222,1269327600.0,0.0
223,1269500400.0,0.0
224,1269673200.0,0.0
225,1269846000.0,0.0
226,1270018800.0,0.0
227,1270191600.0,0.0
228,1270364400.0,0.0
229,1270537200.0,0.0
230,1270710000.0,0.0
231,1270882800.0,0.0
232,1271055600.0,0.0
233,1271228400.0,0.0
234,1271401200.0,0.0
235,1271574000.0,0.0
236,1271746800.0,0.0
237,1271919600.0,0.0
238,1272092400.0,0.0
239,1272265200.0,0.0
240,1272438000.0,0.0
241,1272610800.0,0.0
242,1272783600.0,0.0
243,1272956400.0,0.0
244,1273129200.0,0.0
245,1273302000.0,0.0
246,1273474800.0,0.0
247,1273647600.0,0.0
248,1273820400.0,0.0
249,1273993200.0,0.0
250,1274166000.0,0.0
251,1274338800.0,0.0
252,1274511600.0,0.0
253,1274684400.0,0.0
254,1274857200.0,0.0
255,1275030000.0,0.0
256,1275202800.0,0.0
257,1275375600.0,0.0
258,1275548400.0,0.0
259,1275721200.0,0.0
260,1275894000.0,0.0
261,1276066800.0,0.0
262,1276239600.0,0.0
263,1276412400.0,0.0
264,1276585200.0,0.0
265,1276758000.0,0.0
266,1276930800.0,0.0
267,1277103600.0,0.0
268,1277276400.0,0.0
269,1277449200.0,0.0
270,1277622000.0,0.0
271,1277794800.0,0.0
272,1277967600.0,0.0
273,1278140400.0,0.0
274,1278313200.0,0.0
275,1278486000.0,0.0
276,1278658800.0,0.0
277,1278831600.0,0.0
278,1279004400.0,0.0
279,1279177200.0,0.0
280,1279350000.0,0.0
281,1279522800.0,0.0
282,1279695600.0,0.0
283,1279868400.0,0.0
284,1280041200.0,0.0
285,1280214000.0,0.0
286,1280386800.0,0.0
287,1280559600.0,0.0
288,1280732400.0,0.0
289,1280905200.0,0.0
290,1281078000.0,0.0
291,1281250800.0,0.0
292,1281423600.0,0.0
293,1281596400.0,0.0
294,1281769200.0,0.0
295,1281942000.0,0.0
296,1282114800.0,0.0
297,1282287600.0,0.0
298,1282460400.0,0.0
299,1282633200.0,0.0
300,1282806000.0,0.0
301,1282978800.0,0.0
302,1283151600.0,0.0
303,1283324400.0,0.0
304,1283497200.0,0.0
305,1283670000.0,0.0
306,1283842800.0,0.0
307,1284015600.0,0.0
308,1284188400.0,0.0
309,1284361200.0,0.0
310,1284534000.0,0.0
311,1284706800.0,0.0
312,1284879600.0,0.0
313,1285052400.0,0.0
314,1285225200.0,0.0
315,1285398000.0,0.0
316,1285570800.0,0.0
317,1285743600.0,0.0
318,1285916400.0,0.0
319,1286089200.0,0.0
320,1286262000.0,0.0
321,1286434800.0,0.0
322,1286607600.0,0.0
323,1286780400.0,0.0
324,1286953200.0,0.0
325,1287126000.0,0.0
326,1287298800.0,0.0
327,1287471600.0,0.0
328,1287644400.0,0.0
329,1287817200.0,0.0
330,1287990000.0,0.0
331,1288162800.0,0.0
332,1288335600.0,0.0
333,1288508400.0,0.0
334,1288681200.0,0.0
335,1288854000.0,0.0
336,1289026800.0,0.0
337,1289203200.0,0.0
338,1289376000.0,0.0
339,1289548800.0,0.0
340,1289721600.0,0.0
341,1289894400.0,0.0
342,1290067200.0,0.0
343,1290240000.0,0.0
344,1290412800.0,0.0
345,1290585600.0,0.0
346,1290758400.0,0.0
347,1290931200.0,0.0
348,1291104000.0,0.0
349,1291276800.0,0.0
350,1291449600.0,0.0
351,1291622400.0,0.0
352,1291795200.0,0.0
353,1291968000.0,0.0
354,1292140800.0,0.0
355,1292313600.0,0.0
356,1292486400.0,0.0
357,1292659200.0,0.0
358,1292832000.0,0.0
359,1293004800.0,0.0
360,1293177600.0,0.0
361,1293350400.0,0.0
362,1293523200.0,0.0
363,1293696000.0,0.0
364,1293868800.0,0.0
365,1294041600.0,0.0
366,1294214400.0,0.0
367,1294387200.0,0.0
368,1294560000.0,0.0
369,1294732800.0,0.0
370,1294905600.0,0.0
371,1295078400.0,0.0
372,1295251200.0,0.0
373,1295424000.0,0.0
374,1295596800.0,0.0
375,1295769600.0,0.0
376,1295942400.0,0.0
377,1296115200.0,0.0
378,1296288000.0,0.0
379,1296460800.0,0.0
380,1296633600.0,0.0
381,1296806400.0,0.0
382,1296979200.0,0.0
383,1297152000.0,0.0
384,1297324800.0,0.0
385,1297497600.0,0.0
386,1297670400.0,0.0
387,1297843200.0,0.0
388,1298016000.0,0.0
389,1298188800.0,0.0
390,1298361600.0,0.0
391,1298534400.0,0.0
392,1298707200.0,0.0
393,1298880000.0,0.0
394,1299052800.0,0.0
395,1299225600.0,0.0
396,1299398400.0,0.0
397,1299571200.0,0.0
398,1299744000.0,0.0
399,1299916800.0,0.0
400,1300086000.0,0.0
401,1300258800.0,0.0
402,1300431600.0,0.0
403,1300604400.0,0.0
404,1300777200.0,0.0
405,1300950000.0,0.0
406,1301122800.0,0.0
407,1301295600.0,0.0
408,1301468400.0,0.0
409,1301641200.0,0.0
410,1301814000.0,0.0
411,1301986800.0,0.0
412,1302159600.0,0.0
413,1302332400.0,0.0
414,1302505200.0,0.0
415,1302678000.0,0.0
416,1302850800.0,0.0
417,1303023600.0,0.0
418,1303196400.0,0.0
419,1303369200.0,0.0
420,1303542000.0,0.0
421,1303714800.0,0.0
422,1303887600.0,0.0
423,1304060400.0,0.0
424,1304233200.0,0.0
425,1304406000.0,0.0
426,1304578800.0,0.0
427,1304751600.0,0.0
428,1304924400.0,0.0
429,1305097200.0,0.0
430,1305270000.0,0.0
431,1305442800.0,0.0
432,1305615600.0,0.0
433,1305788400.0,0.0
434,1305961200.0,0.0
435,1306134000.0,0.0
436,1306306800.0,0.0
437,1306479600.0,0.0
438,1306652400.0,0.0
439,1306825200.0,0.0
440,1306998000.0,0.0
441,1307170800.0,0.0
442,1307343600.0,0.0
443,1307516400.0,0.0
444,1307689200.0,0.0
445,1307862000.0,0.0
446,1308034800.0,0.0
447,1308207600.0,0.0
448,1308380400.0,0.0
449,1308553200.0,0.0
450,1308726000.0,0.0
451,1308898800.0,0.0
452,1309071600.0,0.0
453,1309244400.0,0.0
454,1309417200.0,0.0
455,1309590000.0,0.0
456,1309762800.0,0.0
457,1309935600.0,0.0
458,1310108400.0,0.0
459,1310281200.0,0.0
460,1310454000.0,0.0
461,1310626800.0,0.0
462,1310799600.0,0.0
463,1310972400.0,0.0
464,1311145200.0,0.0
465,1311318000.0,0.0
466,1311490800.0,0.0
467,1311663600.0,0.0
468,1311836400.0,0.0
469,1312009200.0,0.0
470,1312182000.0,0.0
471,1312354800.0,0.0
472,1312527600.0,0.0
473,1312700400.0,0.0
474,1312873200.0,0.0
475,1313046000.0,0.0
476,1313218800.0,0.0
477,1313391600.0,0.0
478,1313564400.0,0.0
479,1313737200.0,0.0
480,1313910000.0,0.0
481,1314082800.0,0.0
482,1314255600.0,0.0
483,1314428400.0,0.0
484,1314601200.0,0.0
485,1314774000.0,0.0
486,1314946800.0,0.0
487,1315119600.0,0.0
488,1315292400.0,0.0
489,1315465200.0,0.0
490,1315638000.0,0.0
491,1315810800.0,0.0
492,1315983600.0,0.0
493,1316156400.0,0.0
494,1316329200.0,0.0
495,1316502000.0,0.0
496,1316674800.0,0.0
497,1316847600.0,0.0
498,1317020400.0,0.0
499,1317193200.0,0.0
500,1317366000.0,0.0
501,1317538800.0,0.0
502,1317711600.0,0.0
503,1317884400.0,0.0
504,1318057200.0,0.0
505,1318230000.0,0.0
506,1318402800.0,0.0
507,1318575600.0,0.0
508,1318748400.0,0.0
509,1318921200.0,0.0
510,1319094000.0,0.0
511,1319266800.0,0.0
512,1319439600.0,0.0
513,1319612400.0,0.0
514,1319785200.0,0.0
515,1319958000.0,0.0
516,1320130800.0,0.0
517,1320303600.0,0.0
518,1320476400.0,0.0
519,1320652800.0,0.0
520,1320825600.0,0.0
521,1320998400.0,0.0
522,1321171200.0,0.0
523,1321344000.0,0.0
524,1321516800.0,0.0
525,1321689600.0,0.0
526,1321862400.0,0.0
527,1322035200.0,0.0
528,1322208000.0,0.0
529,1322380800.0,0.0
530,1322553600.0,0.0
531,1322726400.0,0.0
532,1322899200.0,12.783333333333333
533,1323072000.0,13.366666666666667
534,1323244800.0,14.0
535,1323417600.0,10.266666666666667
536,1323590400.0,13.25
537,1323763200.0,15.616666666666667
538,1323936000.0,15.933333333333335
539,1324108800.0,13.183333333333335
540,1324281600.0,16.033333333333335
541,1324454400.0,12.925
542,1324627200.0,13.233333333333333
543,1324800000.0,13.033333333333333
544,1324972800.0,13.833333333333336
545,1325145600.0,14.966666666666667
546,1325318400.0,12.133333333333333
547,1325491200.0,15.566666666666665
548,1325664000.0,13.616666666666667
549,1325836800.0,10.133333333333333
550,1326009600.0,14.016666666666667
551,1326182400.0,13.716666666666667
552,1326355200.0,13.333333333333336
553,1326528000.0,12.233333333333333
554,1326700800.0,13.05
555,1326873600.0,12.783333333333333
556,1327046400.0,12.866666666666667
557,1327219200.0,15.4
558,1327392000.0,12.85
559,1327564800.0,15.233333333333333
560,1327737600.0,10.883333333333333
561,1327910400.0,12.0
562,1328083200.0,17.033333333333335
563,1328256000.0,12.65
564,1328428800.0,16.483333333333334
565,1328601600.0,13.866666666666667
566,1328774400.0,13.216666666666667
567,1328947200.0,12.6
568,1329120000.0,10.833333333333336
569,1329292800.0,12.15
570,1329465600.0,13.316666666666665
571,1329638400.0,12.383333333333333
572,1329811200.0,16.15
573,1329984000.0,12.4
574,1330156800.0,8.983333333333333
575,1330329600.0,9.266666666666667
576,1330502400.0,7.283333333333332
577,1330675200.0,11.95
578,1330848000.0,8.183333333333334
579,1331020800.0,8.9
580,1331193600.0,8.966666666666667
581,1331366400.0,10.541666666666666
582,1331535600.0,7.883333333333334
583,1331708400.0,10.55
584,1331881200.0,9.0
585,1332054000.0,8.383333333333333
586,1332226800.0,9.158333333333333
587,1332399600.0,9.075
588,1332572400.0,7.908333333333332
589,1332745200.0,8.666666666666666
590,1332918000.0,9.55
591,1333090800.0,8.3
592,1333263600.0,8.741666666666667
593,1333436400.0,10.033333333333333
594,1333609200.0,10.275
595,1333782000.0,9.75
596,1333954800.0,8.666666666666666
597,1334127600.0,8.5
598,1334300400.0,11.533333333333333
599,1334473200.0,11.325
600,1334646000.0,9.216666666666667
601,1334818800.0,8.566666666666666
602,1334991600.0,10.7
603,1335164400.0,9.216666666666667
604,1335337200.0,9.883333333333333
605,1335510000.0,10.4
606,1335682800.0,8.35
607,1335855600.0,11.633333333333333
608,1336028400.0,8.916666666666666
609,1336201200.0,9.583333333333334
610,1336374000.0,9.55
611,1336546800.0,9.5
612,1336719600.0,15.183333333333335
613,1336892400.0,9.833333333333334
614,1337065200.0,12.216666666666667
615,1337238000.0,12.033333333333333
616,1337410800.0,11.283333333333333
617,1337583600.0,11.316666666666665
618,1337756400.0,16.5
619,1337929200.0,14.683333333333335
620,1338102000.0,9.45
621,1338274800.0,12.416666666666664
622,1338447600.0,10.716666666666667
623,1338620400.0,10.933333333333335
624,1338793200.0,14.775
625,1338966000.0,8.466666666666667
626,1339138800.0,14.816666666666665
627,1339311600.0,10.816666666666665
628,1339484400.0,12.3
629,1339657200.0,47.73333333333333
630,1339830000.0,23.78333333333333
631,1340002800.0,14.683333333333335
632,1340175600.0,21.291666666666668
633,1340348400.0,15.366666666666667
634,1340521200.0,13.716666666666667
635,1340694000.0,17.483333333333334
636,1340866800.0,14.166666666666664
637,1341039600.0,14.083333333333336
638,1341212400.0,10.516666666666667
639,1341385200.0,13.333333333333336
640,1341558000.0,11.65
641,1341730800.0,11.15
642,1341903600.0,18.166666666666668
643,1342076400.0,15.7
644,1342249200.0,17.266666666666666
645,1342422000.0,12.883333333333333
646,1342594800.0,14.7
647,1342767600.0,16.683333333333334
648,1342940400.0,11.883333333333333
649,1343113200.0,13.283333333333333
650,1343286000.0,13.066666666666665
651,1343458800.0,11.6
652,1343631600.0,12.466666666666667
653,1343804400.0,16.283333333333335
654,1343977200.0,10.216666666666667
655,1344150000.0,13.116666666666667
656,1344322800.0,12.633333333333333
657,1344495600.0,11.933333333333335
658,1344668400.0,13.166666666666664
659,1344841200.0,14.6
660,1345014000.0,16.066666666666666
661,1345186800.0,13.266666666666667
662,1345359600.0,13.233333333333333
663,1345532400.0,10.183333333333334
664,1345705200.0,9.633333333333333
665,1345878000.0,16.9
666,1346050800.0,11.183333333333335
667,1346223600.0,10.0
668,1346396400.0,12.2
669,1346569200.0,8.6
670,1346742000.0,15.616666666666667
671,1346914800.0,8.466666666666667
672,1347087600.0,13.4
673,1347260400.0,16.55
674,1347433200.0,14.4
675,1347606000.0,10.366666666666667
676,1347778800.0,11.883333333333333
677,1347951600.0,11.283333333333333
678,1348124400.0,14.7
679,1348297200.0,11.766666666666667
680,1348470000.0,13.058333333333335
681,1348642800.0,12.933333333333335
682,1348815600.0,11.216666666666667
683,1348988400.0,13.95
684,1349161200.0,12.316666666666665
685,1349334000.0,13.891666666666667
686,1349506800.0,12.483333333333333
687,1349679600.0,11.616666666666667
688,1349852400.0,11.933333333333335
689,1350025200.0,10.3
690,1350198000.0,13.183333333333335
691,1350370800.0,10.783333333333333
692,1350543600.0,10.95
693,1350716400.0,11.383333333333333
694,1350889200.0,10.666666666666666
695,1351062000.0,11.683333333333335
696,1351234800.0,9.508333333333333
697,1351407600.0,9.183333333333334
698,1351580400.0,11.525
699,1351753200.0,13.883333333333333
700,1351926000.0,14.5
701,1352102400.0,11.783333333333333
702,1352275200.0,11.05
703,1352448000.0,12.8
704,1352620800.0,15.833333333333336
705,1352793600.0,11.716666666666667
706,1352966400.0,14.1
707,1353139200.0,14.016666666666667
708,1353312000.0,14.566666666666665
709,1353484800.0,11.716666666666667
710,1353657600.0,15.6
711,1353830400.0,13.216666666666667
712,1354003200.0,9.9
713,1354176000.0,11.216666666666667
714,1354348800.0,11.583333333333336
715,1354521600.0,9.733333333333333
716,1354694400.0,16.583333333333332
717,1354867200.0,12.6
718,1355040000.0,13.083333333333336
719,1355212800.0,12.533333333333333
720,1355385600.0,11.416666666666664
721,1355558400.0,13.55
722,1355731200.0,14.316666666666665
723,1355904000.0,9.983333333333333
724,1356076800.0,11.891666666666667
725,1356249600.0,10.283333333333333
726,1356422400.0,10.716666666666667
727,1356595200.0,10.05
728,1356768000.0,12.9
729,1356940800.0,8.283333333333333
730,1357113600.0,9.3
731,1357286400.0,10.683333333333334
732,1357459200.0,11.083333333333336
733,1357632000.0,9.666666666666666
734,1357804800.0,8.966666666666667
735,1357977600.0,11.283333333333333
736,1358150400.0,11.316666666666665
737,1358323200.0,11.508333333333333
738,1358496000.0,13.2
739,1358668800.0,8.983333333333333
740,1358841600.0,11.483333333333333
741,1359014400.0,10.033333333333333
742,1359187200.0,9.466666666666667
743,1359360000.0,8.75
744,1359532800.0,9.266666666666667
745,1359705600.0,9.766666666666667
746,1359878400.0,9.1
747,1360051200.0,9.266666666666667
748,1360224000.0,9.766666666666667
749,1360396800.0,11.483333333333333
750,1360569600.0,8.966666666666667
751,1360742400.0,9.566666666666666
752,1360915200.0,7.966666666666668
753,1361088000.0,7.55
754,1361260800.0,7.8
755,1361433600.0,7.4
756,1361606400.0,8.016666666666667
757,1361779200.0,6.183333333333334
758,1361952000.0,6.2333333333333325
759,1362124800.0,9.183333333333334
760,1362297600.0,7.866666666666666
761,1362470400.0,8.616666666666667
762,1362643200.0,9.333333333333334
763,1362816000.0,10.166666666666666
764,1362985200.0,6.9
765,1363158000.0,8.716666666666667
766,1363330800.0,8.45
767,1363503600.0,5.9
768,1363676400.0,6.3
769,1363849200.0,5.35
770,1364022000.0,6.15
771,1364194800.0,7.083333333333332
772,1364367600.0,9.766666666666667
773,1364540400.0,6.75
774,1364713200.0,7.716666666666668
775,1364886000.0,7.383333333333334
776,1365058800.0,7.683333333333334
777,1365231600.0,5.783333333333332
778,1365404400.0,6.466666666666668
779,1365577200.0,7.35
780,1365750000.0,6.8
781,1365922800.0,7.95
782,1366095600.0,6.85
783,1366268400.0,9.25
784,1366441200.0,8.066666666666666
785,1366614000.0,7.316666666666666
786,1366786800.0,6.616666666666666
787,1366959600.0,6.4
788,1367132400.0,7.95
789,1367305200.0,7.7666666666666675
790,1367478000.0,7.866666666666666
791,1367650800.0,7.2333333333333325
792,1367823600.0,6.533333333333332
793,1367996400.0,7.933333333333334
794,1368169200.0,6.683333333333334
795,1368342000.0,6.816666666666666
796,1368514800.0,8.75
797,1368687600.0,7.883333333333334
798,1368860400.0,8.191666666666666
799,1369033200.0,8.883333333333333
800,1369206000.0,8.033333333333333
801,1369378800.0,7.966666666666668
802,1369551600.0,9.466666666666667
803,1369724400.0,7.616666666666666
804,1369897200.0,7.783333333333332
805,1370070000.0,6.566666666666666
806,1370242800.0,6.2
807,1370415600.0,6.066666666666666
808,1370588400.0,7.716666666666668
809,1370761200.0,7.666666666666668
810,1370934000.0,7.2666666666666675
811,1371106800.0,5.883333333333334
812,1371279600.0,7.4
813,1371452400.0,7.8
814,1371625200.0,12.1
815,1371798000.0,9.433333333333334
816,1371970800.0,8.716666666666667
817,1372143600.0,7.916666666666668
818,1372316400.0,8.616666666666667
819,1372489200.0,8.616666666666667
820,1372662000.0,7.8
821,1372834800.0,7.566666666666666
822,1373007600.0,7.35
823,1373180400.0,6.7333333333333325
824,1373353200.0,5.933333333333334
825,1373526000.0,7.066666666666666
826,1373698800.0,9.583333333333334
827,1373871600.0,7.416666666666668
828,1374044400.0,7.7
829,1374217200.0,7.25
830,1374390000.0,6.933333333333334
831,1374562800.0,9.25
832,1374735600.0,9.333333333333334
833,1374908400.0,7.883333333333334
834,1375081200.0,8.2
835,1375254000.0,6.316666666666666
836,1375426800.0,6.333333333333332
837,1375599600.0,6.75
838,1375772400.0,6.216666666666668
839,1375945200.0,6.35
840,1376118000.0,5.616666666666666
841,1376290800.0,5.25
842,1376463600.0,8.416666666666666
843,1376636400.0,7.216666666666668
844,1376809200.0,6.116666666666666
845,1376982000.0,6.6
846,1377154800.0,5.633333333333334
847,1377327600.0,5.966666666666668
848,1377500400.0,7.75
849,1377673200.0,7.0166666666666675
850,1377846000.0,6.15
851,1378018800.0,5.116666666666666
852,1378191600.0,6.35
853,1378364400.0,7.05
854,1378537200.0,7.65
855,1378710000.0,6.133333333333334
856,1378882800.0,5.75
857,1379055600.0,5.616666666666666
858,1379228400.0,6.466666666666668
859,1379401200.0,7.3
860,1379574000.0,6.116666666666666
861,1379746800.0,6.2666666666666675
862,1379919600.0,5.116666666666666
863,1380092400.0,5.65
864,1380265200.0,7.416666666666668
865,1380438000.0,6.2666666666666675
866,1380610800.0,6.15
867,1380783600.0,6.183333333333334
868,1380956400.0,6.2666666666666675
869,1381129200.0,7.2666666666666675
870,1381302000.0,6.5166666666666675
871,1381474800.0,6.883333333333334
872,1381647600.0,4.766666666666667
873,1381820400.0,4.966666666666667
874,1381993200.0,6.716666666666668
875,1382166000.0,5.7
876,1382338800.0,5.966666666666668
877,1382511600.0,5.95
878,1382684400.0,5.466666666666668
879,1382857200.0,7.4833333333333325
880,1383030000.0,7.2333333333333325
881,1383202800.0,5.7
882,1383375600.0,5.75
883,1383552000.0,6.133333333333334
884,1383724800.0,7.316666666666666
885,1383897600.0,10.133333333333333
886,1384070400.0,6.55
887,1384243200.0,6.25
888,1384416000.0,8.266666666666667
889,1384588800.0,7.183333333333334
890,1384761600.0,9.15
891,1384934400.0,8.583333333333334
892,1385107200.0,8.25
893,1385280000.0,6.55
894,1385452800.0,7.783333333333332
895,1385625600.0,8.016666666666667
896,1385798400.0,9.1
897,1385971200.0,8.85
898,1386144000.0,7.2333333333333325
899,1386316800.0,6.65
900,1386489600.0,7.116666666666666
901,1386662400.0,6.6
902,1386835200.0,7.416666666666668
903,1387008000.0,6.4833333333333325
904,1387180800.0,6.4833333333333325
905,1387353600.0,6.6
906,1387526400.0,6.15
907,1387699200.0,7.866666666666666
908,1387872000.0,8.05
909,1388044800.0,6.616666666666666
910,1388217600.0,7.883333333333334
911,1388390400.0,7.0
912,1388563200.0,6.466666666666668
913,1388736000.0,8.95
914,1388908800.0,7.066666666666666
915,1389081600.0,6.716666666666668
916,1389254400.0,7.433333333333334
917,1389427200.0,5.716666666666668
918,1389600000.0,6.116666666666666
919,1389772800.0,7.433333333333334
